Project ID,Project Name,Project Type,Start Date,End Date,Project Status,Priority,Task ID,Task Name,Task Status,Assigned To,Hours Spent,Progress
P059,Public Library Renovation Project 059,Renovation,08/02/2024,31/08/2024,On Hold,High,T001,Task 001 of Public Library Renovation Project 059,Pending,Grace,2,0.47
P059,Public Library Renovation Project 059,Renovation,08/02/2024,24/07/2024,On Hold,High,T002,Task 002 of Public Library Renovation Project 059,Completed,Alice,34,1.0
P059,Public Library Renovation Project 059,Renovation,08/02/2024,13/07/2024,On Hold,High,T003,Task 003 of Public Library Renovation Project 059,Completed,Charlie,33,1.0
P060,Building a Park Project 060,Other,04/07/2024,16/11/2024,On Hold,Medium,T001,Task 001 of Building a Park Project 060,Pending,Ivy,8,0.44
P060,Building a Park Project 060,Other,04/07/2024,25/09/2024,On Hold,High,T002,Task 002 of Building a Park Project 060,Completed,Alice,5,1.0
P060,Building a Park Project 060,Other,04/07/2024,26/10/2024,On Hold,High,T003,Task 003 of Building a Park Project 060,In Progress,Bob,34,0.37
P061,Renovation of a School Project 061,Renovation,14/06/2024,05/05/2025,On Hold,Low,T001,Task 001 of Renovation of a School Project 061,Pending,Bob,31,0.84
P061,Renovation of a School Project 061,Renovation,14/06/2024,21/05/2025,On Hold,Medium,T002,Task 002 of Renovation of a School Project 061,In Progress,Eve,34,0.25
P061,Renovation of a School Project 061,Renovation,14/06/2024,07/09/2025,On Hold,Medium,T003,Task 003 of Renovation of a School Project 061,In Progress,Eve,36,0.0
P062,Innovation of a Classroom Project 062,Innovation,27/07/2024,24/03/2025,On Hold,High,T001,Task 001 of Innovation of a Classroom Project 062,Pending,Eve,11,0.11
P062,Innovation of a Classroom Project 062,Innovation,27/07/2024,25/09/2024,On Hold,High,T002,Task 002 of Innovation of a Classroom Project 062,Completed,Charlie,16,1.0
P062,Innovation of a Classroom Project 062,Innovation,27/07/2024,22/02/2025,On Hold,High,T003,Task 003 of Innovation of a Classroom Project 062,Pending,David,38,0.15
P063,Construction of a Hospital Wing Project 063,Construction,16/07/2024,07/01/2025,On Track,High,T001,Task 001 of Construction of a Hospital Wing Project 063,In Progress,David,5,0.55
P063,Construction of a Hospital Wing Project 063,Construction,16/07/2024,18/08/2024,On Track,High,T002,Task 002 of Construction of a Hospital Wing Project 063,Completed,Grace,31,1.0
P063,Construction of a Hospital Wing Project 063,Construction,16/07/2024,11/04/2025,On Track,Low,T003,Task 003 of Construction of a Hospital Wing Project 063,In Progress,David,2,0.68
P064,Road Expansion Project 064,Infrastructure,22/06/2024,25/09/2024,Behind,Low,T001,Task 001 of Road Expansion Project 064,Completed,Grace,30,1.0
P064,Road Expansion Project 064,Infrastructure,22/06/2024,25/07/2024,Behind,Medium,T002,Task 002 of Road Expansion Project 064,Completed,Ivy,6,1.0
P064,Road Expansion Project 064,Infrastructure,22/06/2024,25/09/2024,Behind,High,T003,Task 003 of Road Expansion Project 064,Completed,Charlie,40,1.0
P065,Bridge Maintenance Project 065,Maintenance,06/01/2024,08/02/2024,On Track,High,T001,Task 001 of Bridge Maintenance Project 065,Completed,Eve,18,1.0
P065,Bridge Maintenance Project 065,Maintenance,06/01/2024,25/10/2024,On Track,Medium,T002,Task 002 of Bridge Maintenance Project 065,In Progress,Grace,26,0.41
P065,Bridge Maintenance Project 065,Maintenance,06/01/2024,30/09/2024,On Track,High,T003,Task 003 of Bridge Maintenance Project 065,Pending,Alice,26,0.6
P066,Office Building Renovation Project 066,Renovation,04/05/2024,23/11/2024,Completed,High,T001,Task 001 of Office Building Renovation Project 066,In Progress,Alice,32,0.53
P066,Office Building Renovation Project 066,Renovation,04/05/2024,06/11/2024,Completed,High,T002,Task 002 of Office Building Renovation Project 066,Pending,Frank,20,0.55
P066,Office Building Renovation Project 066,Renovation,04/05/2024,13/09/2024,Completed,Medium,T003,Task 003 of Office Building Renovation Project 066,Pending,Ivy,1,0.61
P067,Apartment Complex Development Project 067,Other,30/01/2024,12/01/2025,Completed,Low,T001,Task 001 of Apartment Complex Development Project 067,In Progress,Ivy,10,0.04
P067,Apartment Complex Development Project 067,Other,30/01/2024,26/12/2024,Completed,Medium,T002,Task 002 of Apartment Complex Development Project 067,In Progress,Grace,4,0.71
P067,Apartment Complex Development Project 067,Other,30/01/2024,03/03/2024,Completed,High,T003,Task 003 of Apartment Complex Development Project 067,Completed,Ivy,8,1.0
P068,Commercial Center Construction Project 068,Construction,30/01/2024,28/05/2025,Behind,Low,T001,Task 001 of Commercial Center Construction Project 068,Pending,Alice,28,0.48
P068,Commercial Center Construction Project 068,Construction,30/01/2024,13/02/2025,Behind,Low,T002,Task 002 of Commercial Center Construction Project 068,Pending,Charlie,32,0.93
P068,Commercial Center Construction Project 068,Construction,30/01/2024,03/03/2024,Behind,High,T003,Task 003 of Commercial Center Construction Project 068,Completed,Charlie,8,1.0
P069,Highway Reconstruction Project 069,Other,25/02/2024,01/03/2025,On Track,High,T001,Task 001 of Highway Reconstruction Project 069,Pending,Charlie,16,0.28
P069,Highway Reconstruction Project 069,Other,25/02/2024,14/08/2025,On Track,High,T002,Task 002 of Highway Reconstruction Project 069,In Progress,Ivy,36,0.13
P069,Highway Reconstruction Project 069,Other,25/02/2024,08/08/2025,On Track,Low,T003,Task 003 of Highway Reconstruction Project 069,Pending,Eve,3,0.5
P070,Airport Expansion Project 070,Other,28/02/2024,23/06/2025,Behind,High,T001,Task 001 of Airport Expansion Project 070,In Progress,Alice,0,0.98
P070,Airport Expansion Project 070,Other,28/02/2024,27/09/2025,Behind,High,T002,Task 002 of Airport Expansion Project 070,In Progress,David,21,0.11
P070,Airport Expansion Project 070,Other,28/02/2024,01/04/2024,Behind,High,T003,Task 003 of Airport Expansion Project 070,Completed,Alice,26,1.0
P071,Shopping Mall Renovation Project 071,Renovation,10/02/2024,18/02/2024,On Track,High,T001,Task 001 of Shopping Mall Renovation Project 071,Completed,Eve,32,1.0
P071,Shopping Mall Renovation Project 071,Renovation,10/02/2024,19/02/2024,On Track,High,T002,Task 002 of Shopping Mall Renovation Project 071,In Progress,Eve,3,0.62
P071,Shopping Mall Renovation Project 071,Renovation,10/02/2024,17/02/2024,On Track,High,T003,Task 003 of Shopping Mall Renovation Project 071,Completed,Alice,10,1.0
P072,University Dormitory Construction Project 072,Construction,23/04/2024,27/05/2025,On Hold,High,T001,Task 001 of University Dormitory Construction Project 072,In Progress,Frank,20,0.77
P072,University Dormitory Construction Project 072,Construction,23/04/2024,26/05/2024,On Hold,High,T002,Task 002 of University Dormitory Construction Project 072,Completed,Bob,29,1.0
P072,University Dormitory Construction Project 072,Construction,23/04/2024,09/06/2025,On Hold,Medium,T003,Task 003 of University Dormitory Construction Project 072,Pending,Alice,0,0.36
P073,Sports Stadium Upgrade Project 073,Other,06/05/2024,23/09/2024,Behind,Low,T001,Task 001 of Sports Stadium Upgrade Project 073,Completed,Alice,29,1.0
P073,Sports Stadium Upgrade Project 073,Other,06/05/2024,22/08/2024,Behind,High,T002,Task 002 of Sports Stadium Upgrade Project 073,Completed,Bob,24,1.0
P073,Sports Stadium Upgrade Project 073,Other,06/05/2024,14/09/2024,Behind,High,T003,Task 003 of Sports Stadium Upgrade Project 073,Completed,David,14,1.0
P074,Public Library Renovation Project 074,Renovation,21/05/2024,26/07/2024,Behind,High,T001,Task 001 of Public Library Renovation Project 074,Pending,Grace,13,0.74
P074,Public Library Renovation Project 074,Renovation,21/05/2024,01/08/2024,Behind,High,T002,Task 002 of Public Library Renovation Project 074,Pending,Alice,8,0.18
P074,Public Library Renovation Project 074,Renovation,21/05/2024,17/07/2024,Behind,High,T003,Task 003 of Public Library Renovation Project 074,In Progress,Charlie,39,0.05
P075,Building a Park Project 075,Other,11/05/2024,13/06/2024,Behind,Medium,T001,Task 001 of Building a Park Project 075,Completed,Ivy,11,1.0
P075,Building a Park Project 075,Other,11/05/2024,12/09/2025,Behind,Medium,T002,Task 002 of Building a Park Project 075,Pending,Alice,11,0.26
P075,Building a Park Project 075,Other,11/05/2024,26/07/2025,Behind,Medium,T003,Task 003 of Building a Park Project 075,In Progress,Bob,0,0.29
P076,Renovation of a School Project 076,Renovation,11/07/2024,01/08/2024,On Track,High,T001,Task 001 of Renovation of a School Project 076,Pending,Bob,15,0.71
P076,Renovation of a School Project 076,Renovation,11/07/2024,11/08/2024,On Track,Medium,T002,Task 002 of Renovation of a School Project 076,Completed,Eve,19,1.0
P076,Renovation of a School Project 076,Renovation,11/07/2024,01/08/2024,On Track,High,T003,Task 003 of Renovation of a School Project 076,Pending,Eve,10,0.21
P077,Innovation of a Classroom Project 077,Innovation,09/04/2024,07/02/2025,On Hold,Medium,T001,Task 001 of Innovation of a Classroom Project 077,In Progress,Eve,2,0.85
P077,Innovation of a Classroom Project 077,Innovation,09/04/2024,12/05/2024,On Hold,High,T002,Task 002 of Innovation of a Classroom Project 077,Completed,Charlie,39,1.0
P077,Innovation of a Classroom Project 077,Innovation,09/04/2024,13/03/2025,On Hold,Low,T003,Task 003 of Innovation of a Classroom Project 077,Pending,David,1,0.15
P078,Construction of a Hospital Wing Project 078,Construction,26/01/2024,19/04/2024,On Hold,High,T001,Task 001 of Construction of a Hospital Wing Project 078,Completed,Alice,25,1.0
P078,Construction of a Hospital Wing Project 078,Construction,26/01/2024,18/03/2024,On Hold,High,T002,Task 002 of Construction of a Hospital Wing Project 078,In Progress,Grace,4,0.95
P078,Construction of a Hospital Wing Project 078,Construction,26/01/2024,09/04/2024,On Hold,Medium,T003,Task 003 of Construction of a Hospital Wing Project 078,Completed,Alice,12,1.0
P079,Road Expansion Project 079,Infrastructure,22/04/2024,13/01/2025,Completed,High,T001,Task 001 of Road Expansion Project 079,In Progress,Grace,13,0.11
P079,Road Expansion Project 079,Infrastructure,22/04/2024,15/03/2025,Completed,High,T002,Task 002 of Road Expansion Project 079,In Progress,Ivy,34,0.05
P079,Road Expansion Project 079,Infrastructure,22/04/2024,25/05/2024,Completed,Medium,T003,Task 003 of Road Expansion Project 079,Completed,Charlie,13,1.0
P080,Bridge Maintenance Project 080,Maintenance,16/04/2024,09/07/2024,On Track,High,T001,Task 001 of Bridge Maintenance Project 080,Pending,Eve,13,0.7
P080,Bridge Maintenance Project 080,Maintenance,16/04/2024,23/06/2024,On Track,Low,T002,Task 002 of Bridge Maintenance Project 080,In Progress,Grace,15,0.65
P080,Bridge Maintenance Project 080,Maintenance,16/04/2024,06/07/2024,On Track,Medium,T003,Task 003 of Bridge Maintenance Project 080,Completed,Alice,27,1.0
P081,Office Building Renovation Project 081,Renovation,31/05/2024,04/01/2025,On Track,High,T001,Task 001 of Office Building Renovation Project 081,In Progress,Alice,26,0.08
P081,Office Building Renovation Project 081,Renovation,31/05/2024,03/03/2025,On Track,Medium,T002,Task 002 of Office Building Renovation Project 081,In Progress,Frank,5,0.09
P081,Office Building Renovation Project 081,Renovation,31/05/2024,03/07/2024,On Track,High,T003,Task 003 of Office Building Renovation Project 081,Completed,Ivy,5,1.0
P082,Apartment Complex Development Project 082,Other,01/07/2024,12/03/2025,On Track,Medium,T001,Task 001 of Apartment Complex Development Project 082,In Progress,Ivy,4,0.47
P082,Apartment Complex Development Project 082,Other,01/07/2024,25/09/2024,On Track,Medium,T002,Task 002 of Apartment Complex Development Project 082,Completed,Grace,10,1.0
P082,Apartment Complex Development Project 082,Other,01/07/2024,17/03/2025,On Track,High,T003,Task 003 of Apartment Complex Development Project 082,In Progress,Ivy,21,0.58
P083,Commercial Center Construction Project 083,Construction,20/03/2024,05/06/2024,Behind,Medium,T001,Task 001 of Commercial Center Construction Project 083,Completed,Alice,24,1.0
P083,Commercial Center Construction Project 083,Construction,20/03/2024,25/05/2024,Behind,High,T002,Task 002 of Commercial Center Construction Project 083,Completed,Charlie,19,1.0
P083,Commercial Center Construction Project 083,Construction,20/03/2024,15/06/2024,Behind,High,T003,Task 003 of Commercial Center Construction Project 083,In Progress,Charlie,28,0.37
P084,Highway Reconstruction Project 084,Other,09/06/2024,08/05/2025,On Hold,Low,T001,Task 001 of Highway Reconstruction Project 084,Pending,Charlie,17,0.54
P084,Highway Reconstruction Project 084,Other,09/06/2024,19/04/2025,On Hold,Medium,T002,Task 002 of Highway Reconstruction Project 084,In Progress,Ivy,16,0.91
P084,Highway Reconstruction Project 084,Other,09/06/2024,25/03/2025,On Hold,High,T003,Task 003 of Highway Reconstruction Project 084,Pending,Eve,14,0.2
P085,Airport Expansion Project 085,Other,03/08/2024,18/11/2024,Completed,Low,T001,Task 001 of Airport Expansion Project 085,Pending,Alice,17,0.02
P085,Airport Expansion Project 085,Other,03/08/2024,25/09/2024,Completed,High,T002,Task 002 of Airport Expansion Project 085,Completed,David,15,1.0
P085,Airport Expansion Project 085,Other,03/08/2024,19/11/2024,Completed,High,T003,Task 003 of Airport Expansion Project 085,Pending,Alice,24,0.51
P086,Shopping Mall Renovation Project 086,Renovation,29/01/2024,10/12/2024,Completed,High,T001,Task 001 of Shopping Mall Renovation Project 086,In Progress,Eve,35,0.54
P086,Shopping Mall Renovation Project 086,Renovation,29/01/2024,25/09/2024,Completed,High,T002,Task 002 of Shopping Mall Renovation Project 086,Completed,Eve,6,1.0
P086,Shopping Mall Renovation Project 086,Renovation,29/01/2024,17/10/2024,Completed,High,T003,Task 003 of Shopping Mall Renovation Project 086,Pending,Alice,19,0.25
P087,University Dormitory Construction Project 087,Construction,17/02/2024,11/09/2025,On Track,High,T001,Task 001 of University Dormitory Construction Project 087,In Progress,Frank,8,0.06
P087,University Dormitory Construction Project 087,Construction,17/02/2024,07/10/2025,On Track,Medium,T002,Task 002 of University Dormitory Construction Project 087,Pending,Bob,1,0.45
P087,University Dormitory Construction Project 087,Construction,17/02/2024,06/10/2025,On Track,High,T003,Task 003 of University Dormitory Construction Project 087,In Progress,Alice,12,0.3
P088,Sports Stadium Upgrade Project 088,Other,21/07/2024,13/02/2025,Completed,High,T001,Task 001 of Sports Stadium Upgrade Project 088,In Progress,Alice,16,0.29
P088,Sports Stadium Upgrade Project 088,Other,21/07/2024,02/02/2025,Completed,Medium,T002,Task 002 of Sports Stadium Upgrade Project 088,Pending,Bob,30,0.48
P088,Sports Stadium Upgrade Project 088,Other,21/07/2024,21/12/2024,Completed,High,T003,Task 003 of Sports Stadium Upgrade Project 088,In Progress,David,18,0.77
P089,Public Library Renovation Project 089,Renovation,26/05/2024,06/05/2025,On Track,Medium,T001,Task 001 of Public Library Renovation Project 089,In Progress,Grace,17,0.75
P089,Public Library Renovation Project 089,Renovation,26/05/2024,18/07/2025,On Track,High,T002,Task 002 of Public Library Renovation Project 089,In Progress,Alice,4,0.23
P089,Public Library Renovation Project 089,Renovation,26/05/2024,28/06/2024,On Track,Medium,T003,Task 003 of Public Library Renovation Project 089,Completed,Charlie,34,1.0
P090,Building a Park Project 090,Other,11/06/2024,14/07/2024,Completed,High,T001,Task 001 of Building a Park Project 090,Completed,Ivy,21,1.0
P090,Building a Park Project 090,Other,11/06/2024,01/09/2025,Completed,Low,T002,Task 002 of Building a Park Project 090,In Progress,Alice,27,0.08
P090,Building a Park Project 090,Other,11/06/2024,21/10/2025,Completed,High,T003,Task 003 of Building a Park Project 090,In Progress,Bob,21,0.96
P091,Renovation of a School Project 091,Renovation,22/05/2024,24/06/2024,On Hold,High,T001,Task 001 of Renovation of a School Project 091,Completed,Bob,23,1.0
P091,Renovation of a School Project 091,Renovation,22/05/2024,13/03/2025,On Hold,Medium,T002,Task 002 of Renovation of a School Project 091,Pending,Eve,22,0.92
P091,Renovation of a School Project 091,Renovation,22/05/2024,21/03/2025,On Hold,Low,T003,Task 003 of Renovation of a School Project 091,Pending,Eve,33,0.64
P092,Innovation of a Classroom Project 092,Innovation,03/03/2024,26/11/2024,Completed,Medium,T001,Task 001 of Innovation of a Classroom Project 092,Pending,Eve,22,0.04
P092,Innovation of a Classroom Project 092,Innovation,03/03/2024,25/09/2024,Completed,Medium,T002,Task 002 of Innovation of a Classroom Project 092,Completed,Charlie,13,1.0
P092,Innovation of a Classroom Project 092,Innovation,03/03/2024,25/09/2024,Completed,High,T003,Task 003 of Innovation of a Classroom Project 092,Completed,David,11,1.0
P093,Construction of a Hospital Wing Project 093,Construction,19/08/2024,21/09/2024,Completed,Low,T001,Task 001 of Construction of a Hospital Wing Project 093,Completed,Alice,40,1.0
P093,Construction of a Hospital Wing Project 093,Construction,19/08/2024,19/04/2025,Completed,Low,T002,Task 002 of Construction of a Hospital Wing Project 093,In Progress,Grace,31,0.75
P093,Construction of a Hospital Wing Project 093,Construction,19/08/2024,21/09/2024,Completed,Low,T003,Task 003 of Construction of a Hospital Wing Project 093,Completed,Charlie,0,1.0
P094,Road Expansion Project 094,Infrastructure,28/06/2024,06/10/2024,Behind,High,T001,Task 001 of Road Expansion Project 094,In Progress,Grace,13,0.44
P094,Road Expansion Project 094,Infrastructure,28/06/2024,29/09/2024,Behind,High,T002,Task 002 of Road Expansion Project 094,In Progress,Ivy,20,0.42
P094,Road Expansion Project 094,Infrastructure,28/06/2024,23/09/2024,Behind,Medium,T003,Task 003 of Road Expansion Project 094,In Progress,Charlie,39,0.37
P095,Bridge Maintenance Project 095,Maintenance,17/02/2024,02/08/2024,Behind,Medium,T001,Task 001 of Bridge Maintenance Project 095,Pending,Eve,24,0.81
P095,Bridge Maintenance Project 095,Maintenance,17/02/2024,29/06/2024,Behind,Low,T002,Task 002 of Bridge Maintenance Project 095,In Progress,Grace,34,0.97
P095,Bridge Maintenance Project 095,Maintenance,17/02/2024,27/07/2024,Behind,High,T003,Task 003 of Bridge Maintenance Project 095,In Progress,Charlie,7,0.58
P096,Office Building Renovation Project 096,Renovation,03/03/2024,06/05/2025,On Track,Low,T001,Task 001 of Office Building Renovation Project 096,Pending,Alice,17,0.69
P096,Office Building Renovation Project 096,Renovation,03/03/2024,05/01/2025,On Track,Medium,T002,Task 002 of Office Building Renovation Project 096,In Progress,Frank,20,0.08
P096,Office Building Renovation Project 096,Renovation,03/03/2024,09/03/2025,On Track,High,T003,Task 003 of Office Building Renovation Project 096,Pending,Ivy,32,0.92
P097,Apartment Complex Development Project 097,Other,08/06/2024,08/12/2024,Behind,High,T001,Task 001 of Apartment Complex Development Project 097,Pending,Ivy,9,0.5
P097,Apartment Complex Development Project 097,Other,08/06/2024,08/03/2025,Behind,Medium,T002,Task 002 of Apartment Complex Development Project 097,Pending,Grace,17,0.2
P097,Apartment Complex Development Project 097,Other,08/06/2024,21/12/2024,Behind,High,T003,Task 003 of Apartment Complex Development Project 097,Pending,Ivy,32,0.66
P098,Commercial Center Construction Project 098,Construction,15/08/2024,23/01/2025,Completed,Medium,T001,Task 001 of Commercial Center Construction Project 098,In Progress,Alice,12,0.67
P098,Commercial Center Construction Project 098,Construction,15/08/2024,28/01/2025,Completed,Medium,T002,Task 002 of Commercial Center Construction Project 098,Pending,Charlie,25,0.83
P098,Commercial Center Construction Project 098,Construction,15/08/2024,27/04/2025,Completed,High,T003,Task 003 of Commercial Center Construction Project 098,In Progress,Charlie,20,0.3
P099,Highway Reconstruction Project 099,Other,31/05/2024,22/12/2024,Completed,Medium,T001,Task 001 of Highway Reconstruction Project 099,Pending,Charlie,7,0.14
P099,Highway Reconstruction Project 099,Other,31/05/2024,01/03/2025,Completed,High,T002,Task 002 of Highway Reconstruction Project 099,Pending,Ivy,5,0.36
P099,Highway Reconstruction Project 099,Other,31/05/2024,11/03/2025,Completed,High,T003,Task 003 of Highway Reconstruction Project 099,Pending,Eve,19,0.91
P100,Airport Expansion Project 100,Other,08/08/2024,02/09/2024,On Track,Medium,T001,Task 001 of Airport Expansion Project 100,Pending,Charlie,30,0.85
P100,Airport Expansion Project 100,Other,08/08/2024,30/08/2024,On Track,Medium,T002,Task 002 of Airport Expansion Project 100,Pending,David,12,0.02
P100,Airport Expansion Project 100,Other,08/08/2024,30/08/2024,On Track,Medium,T003,Task 003 of Airport Expansion Project 100,In Progress,Alice,38,0.86
